run,classified_kj_std,classified_ckj_10,classified_ckj_20,Total reads,Viruses,cannot be assigned to a (non-viral) species,unclassified reads,detected_species_ck10,detected_species_ck20,detected_species_ck_std
ERR4775896,1005430.0,449845.0,440940.0,2275756.0,459.0,423941.0,833432.0,7.0,6.0,1701.0
SRR6468503,6680922.0,2035017.0,1845323.0,16081286.0,3749.0,3117015.0,5965551.0,14.0,9.0,4175.0
SRR6468610,6457777.0,1124850.0,1000703.0,13037940.0,5283.0,3704599.0,2574124.0,13.0,10.0,3218.0
SRR6468671,330280.0,118485.0,106093.0,2797765.0,21627.0,101239.0,2139855.0,3.0,1.0,739.0
SRR6468523,27503283.0,12414109.0,11603423.0,67086551.0,215294.0,14650529.0,19723509.0,55.0,40.0,4882.0
SRR6468670,4490702.0,835916.0,703591.0,9870079.0,1966.0,2124648.0,3162447.0,20.0,14.0,3470.0
ERR4775634,716975.0,137355.0,81265.0,1937039.0,472.0,461294.0,748314.0,4.0,2.0,1179.0
SRR5950647,21266.0,0.0,0.0,213433.0,333.0,9762.0,180547.0,0.0,0.0,97.0
SRR6468520,5139041.0,1662628.0,1545531.0,13716807.0,3556.0,4610531.0,3555666.0,19.0,14.0,3642.0
SRR6468550,5834566.0,2094209.0,2072633.0,12137039.0,2814.0,1727045.0,3943404.0,17.0,14.0,3979.0
SRR5936175,2714.0,0.0,0.0,8522.0,21.0,2254.0,2888.0,0.0,0.0,38.0
SRR6468641,4725828.0,1159898.0,1094969.0,15280379.0,4525.0,2247358.0,7368119.0,11.0,8.0,4465.0
ERR4775946,945285.0,221233.0,195354.0,2494613.0,1090.0,631505.0,904953.0,4.0,3.0,1771.0
ERR4775607,684414.0,65613.0,44950.0,2170881.0,6523.0,314852.0,1155500.0,4.0,2.0,1707.0
SRR6468656,7532940.0,1668181.0,1482126.0,17442746.0,6099.0,3192189.0,6055269.0,24.0,16.0,4495.0
SRR6468687,19179377.0,5495642.0,5256290.0,48956406.0,11886.0,10423969.0,17812412.0,24.0,14.0,4698.0
ERR4775547,612471.0,159540.0,103153.0,1509278.0,599.0,261058.0,623304.0,7.0,3.0,1399.0
SRR6468567,6878638.0,2195881.0,1964021.0,16926954.0,29464.0,2507013.0,6907506.0,23.0,15.0,4515.0
ERR4775709,2157881.0,313726.0,285938.0,4829202.0,28001.0,1246334.0,1384825.0,9.0,4.0,1764.0
SRR5946763,8644457.0,2545071.0,2476572.0,21010249.0,5207.0,4605186.0,7748254.0,17.0,11.0,3028.0
ERR4775966,675154.0,273988.0,260088.0,1727950.0,6377.0,381850.0,653018.0,5.0,3.0,1312.0
SRR5946919,8433706.0,1844395.0,1579455.0,20097474.0,23451.0,6539335.0,5095256.0,17.0,8.0,3671.0
SRR5946908,3579446.0,1242216.0,1117610.0,8840589.0,13610.0,1796794.0,3443509.0,15.0,9.0,3265.0
SRR6468696,3142784.0,491545.0,448769.0,8842057.0,31652.0,1264075.0,4018000.0,8.0,7.0,3162.0
SRR6468542,9814884.0,3155462.0,3012728.0,25483307.0,6279.0,4242019.0,9802348.0,33.0,22.0,4688.0
SRR6468663,17540794.0,11977935.0,11895243.0,47215052.0,1347825.0,20767845.0,5844508.0,21.0,14.0,3212.0
SRR6468665,27484913.0,7341221.0,7227186.0,70750044.0,16832.0,15298521.0,25308367.0,22.0,18.0,4657.0
SRR6468642,2202051.0,896146.0,851420.0,6571131.0,1186.0,1225797.0,2936576.0,8.0,6.0,3214.0
SRR6468646,4825181.0,1532181.0,1439943.0,12027088.0,3481.0,1981575.0,5016241.0,15.0,11.0,4238.0
ERR4775590,123778.0,0.0,0.0,359409.0,195.0,84932.0,144418.0,0.0,0.0,458.0
ERR4775692,550872.0,222898.0,203168.0,1230474.0,255.0,238621.0,431467.0,4.0,3.0,917.0
ERR4775771,777591.0,345790.0,337299.0,1889326.0,395.0,435268.0,664697.0,5.0,4.0,1207.0
SRR5946982,1154212.0,638437.0,569921.0,2771247.0,402.0,997661.0,607682.0,9.0,6.0,1480.0
SRR6468614,22047715.0,5443324.0,5037698.0,58003296.0,11424.0,9848111.0,23898610.0,43.0,29.0,4814.0
SRR6468679,7322934.0,2875204.0,2671060.0,17629774.0,43945.0,3174721.0,6516651.0,27.0,18.0,4480.0
SRR6468615,23678447.0,8084783.0,7430463.0,65552880.0,27893.0,14392431.0,24895846.0,48.0,27.0,4954.0
ERR4775664,927537.0,124831.0,94444.0,2195621.0,500.0,299186.0,958245.0,3.0,1.0,1582.0
SRR6468622,6587577.0,3130852.0,2989263.0,16956385.0,7305.0,4435471.0,5479212.0,14.0,12.0,4095.0
SRR6468546,5027985.0,1298747.0,1247138.0,13983214.0,42817.0,3601556.0,5069134.0,9.0,7.0,4051.0
SRR6468701,6907126.0,4357083.0,4355957.0,15704131.0,21151.0,6180253.0,2158927.0,13.0,11.0,2547.0
SRR5962902,4997135.0,2361562.0,2297044.0,11562147.0,1105.0,4007083.0,2548636.0,9.0,7.0,2471.0
SRR5935963,5563873.0,1906406.0,1748936.0,14739287.0,6123.0,3102347.0,6063272.0,14.0,8.0,4345.0
SRR6468678,6486411.0,2681221.0,2639052.0,16905856.0,5013.0,4544366.0,5161263.0,18.0,13.0,4269.0
ERR4775539,283212.0,30340.0,30340.0,857797.0,232.0,137063.0,425533.0,1.0,1.0,1285.0
